Tara,Populatie,RataNatalitate,RataMortalitate
Rusia,146000000,0.0107,0.0134
Germania,83000000,0.0095,0.0115
Turcia,82000000,0.0152,0.0058
Franta,67000000,0.0119,0.0094
UK,66000000,0.012,0.0093
Italia,60000000,0.007,0.0107
Spania,47000000,0.0079,0.0091
Ucraina,41000000,0.0081,0.0144
Polonia,38000000,0.0097,0.0104
Romania,19000000,0.0095,0.0132
SUA,331000000,0.011,0.008
Brazilia,213000000,0.013,0.006
India,1393000000,0.018,0.007
China,1440000000,0.008,0.007
Canada,38000000,0.01,0.008
Australia,26000000,0.012,0.007
Japonia,125000000,0.007,0.011
Coreea de Sud,52000000,0.005,0.006
Vietnam,97000000,0.014,0.006
Pakistan,225000000,0.027,0.007
Indonezia,273000000,0.019,0.007
Bangladesh,165000000,0.019,0.005
Mexic,126000000,0.017,0.006
Argentina,45000000,0.016,0.007
Egipt,104000000,0.022,0.006
Africa de Sud,60000000,0.021,0.009
Nigeria,206000000,0.037,0.012
Etiopia,118000000,0.03,0.006
Kenya,54000000,0.028,0.006
Algeria,44000000,0.025,0.005
Maroc,37000000,0.019,0.006
Irak,40000000,0.03,0.006
Iran,85000000,0.014,0.006
Arabia Saudita,35000000,0.018,0.004
Siria,18000000,0.021,0.008
Israel,9300000,0.02,0.005
Grecia,10700000,0.007,0.011
Portugalia,10200000,0.008,0.011
Suedia,10000000,0.012,0.009
Norvegia,5400000,0.01,0.007
Finlanda,5500000,0.01,0.009
Danemarca,5800000,0.011,0.008
Cehia,10700000,0.01,0.011
Slovacia,5500000,0.01,0.01
Ungaria,9700000,0.009,0.013
Bulgaria,7000000,0.008,0.014
Serbia,6900000,0.009,0.014
Croatia,4000000,0.009,0.013
Austria,9000000,0.009,0.009
Elvetia,8700000,0.01,0.008
Olanda,17000000,0.011,0.008
Belgia,11500000,0.011,0.009
Irlanda,5000000,0.013,0.006
Noua Zeelanda,5000000,0.012,0.007
Singapore,5700000,0.009,0.005
Malaezia,33000000,0.017,0.005
Thailanda,70000000,0.01,0.007
Filipine,113000000,0.02,0.006
Columbia,51000000,0.014,0.007
Peru,33000000,0.017,0.007
Chile,19000000,0.012,0.007
